"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"VSTR_LBL_SEND_HIT_LOGS","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs","Логи Попаданий/Урона","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs","Envoyer les journaux de Coup / Dommages Joueur","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs","发送玩家击中/伤害日志"
"VSTR_LBL_SEND_PLAYER_LEAVE_JOIN_LOGS","Send Player Join / Leave Logs","Send Player Join / Leave Logs","Send Player Join / Leave Logs","Send Player Join / Leave Logs","Логи Входа/Выхода","Send Player Join / Leave Logs","Send Player Join / Leave Logs","Send Player Join / Leave Logs","Send Player Join / Leave Logs","Envoyer les journaux de Rejoindre / Quitter Joueur","Send Player Join / Leave Logs","Send Player Join / Leave Logs","Send Player Join / Leave Logs","发送玩家加入/离开日志"
"VSTR_LBL_URL","URL:","URL:","URL:","URL:","URL:","URL:","URL:","URL:","URL:","URL :","URL:","URL:","URL:","URL:"
"VSTR_LBL_WEBHOOKS_TIP","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","В настоящее время поддерживаются только вебхуки Discord, поскольку формат запросов (json) подходит для Discord.","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Actuellement, seuls les WebHooks Discord sont pris en charge, car le format des requêtes (json) est adapté pour Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","目前仅支持 Discord WebHook，因为请求格式 (json) 适合 Discord"
"VSTR_LBL_CREATE_NEW_PRESET","Create New","Create New","Create New","Create New","Создать хук","Create New","Create New","Create New","Create New","Créer Nouveau","Create New","Create New","Create New","新建"
"VSTR_LBL_PLEASE_WAIT","Please wait...","Please wait...","Please wait...","Please wait...","Подождите...","Please wait...","Please wait...","Please wait...","Please wait...","Veuillez patienter...","Please wait...","Please wait...","Please wait...","请稍等..."
"VSTR_LBL_APPLY_CHANGES","Apply Changes","Apply Changes","Apply Changes","Apply Changes","Сохранить","Apply Changes","Apply Changes","Apply Changes","Apply Changes","Appliquer les Changements","Apply Changes","Apply Changes","Apply Changes","保存更改"
"VSTR_LBL_LOAD_SELECTED","Load Selected","Load Selected","Load Selected","Load Selected","Загрузить","Load Selected","Load Selected","Load Selected","Load Selected","Charger Sélectionné","Load Selected","Load Selected","Load Selected","加载所选内容"
"VSTR_LBL_GET_ITEM_STATS","Get Item Stats","Get Item Stats","Get Item Stats","Get Item Stats","На карте","Get Item Stats","Get Item Stats","Get Item Stats","Get Item Stats","Obtenir les Statistiques des Objets","Get Item Stats","Get Item Stats","Get Item Stats","获取项目统计信息"
"VSTR_XML_EDITOR_TITLE","XML Editor","XML Editor","XML Editor","XML Editor","Редактор XML","XML Editor","XML Editor","XML Editor","XML Editor","Éditeur XML","XML Editor","XML Editor","XML Editor","XML编辑器"
"VSTR_XML_MENU_TOOLTIP","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","Если вы получаете значения с сервера как «не определенные», убедитесь, что вы скопировали файл type.xml из своей миссии в папку VPPAdminTools/Export/, расположенную в ваших профилях\nПерезапуск сервера не требуется","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","Si vous obtenez des valeurs du serveur comme 'non défini', assurez-vous d'avoir copié le fichier type.xml de votre mission dans le dossier VPPAdminTools/Export/ situé dans vos profils\nAucun redémarrage du serveur n'est nécessaire, le fichier sera pris en compte par le système","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","如果您从服务器获取的值显示为“未定义”，请确保您已将type.xml文件从您的任务复制到您的配置文件中的VPPAdminTools/Export/文件夹中。无需重新启动服务器，系统将选择该文件 由系统发起"
"VSTR_SESSION_DISCONNECT_02","SESSION DISCONNECT","SESSION DISCONNECT","SESSION DISCONNECT","SESSION DISCONNECT",,"SESSION DISCONNECT","SESSION DISCONNECT","SESSION DISCONNECT","SESSION DISCONNECT","Déconnexion de session","SESSION DISCONNECT","SESSION DISCONNECT","SESSION DISCONNECT","會話登出"
"VSTR_LBL_TP_SHOW_MARKERS","Show teleport pos markers","Show teleport pos markers","Show teleport pos markers","Show teleport pos markers","[ЗАЖАТЬ/2xТап] Концентрация на игре","Show teleport pos markers","Show teleport pos markers","Show teleport pos markers","Show teleport pos markers","[Maintenir/2xTap] Se Concentrer sur le Jeu","Show teleport pos markers","Show teleport pos markers","Show teleport pos markers","顯示遠距傳送位置標記"
"VSTR_LBL_USE_CE","Use CE/XML Setup","Use CE/XML Setup","Use CE/XML Setup","Use CE/XML Setup","[2xТап] Развернуть/свернуть данные игрока ESP","Use CE/XML Setup","Use CE/XML Setup","Use CE/XML Setup","Use CE/XML Setup","Utiliser le réglage CE/XML","Use CE/XML Setup","Use CE/XML Setup","Use CE/XML Setup","使用 CE/XML 設定"
"vpp_settings_collapseesp","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xТап] Развернуть/свернуть данные игрока ESP","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Développer/Réduire les Détails des Joueurs ESP","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] 展開/折疊 ESP 播放器詳細資訊"
"vpp_settings_toggleplayerdetail","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","Открыть ПУ","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Développer/Réduire les Détails des Joueurs ESP","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] 展開/折疊 ESP 播放器詳細資訊"
"vpp_settings_openadmintools","Open Toolbar","Open Toolbar","Open Toolbar","Open Toolbar","Вкл\выкл админку, горячие клавиши и привилегии","Open Toolbar","Open Toolbar","Open Toolbar","Open Toolbar","Ouvrir la Barre d'Outils","Open Toolbar","Open Toolbar","Open Toolbar","開啟工具列"
"vpp_settings_toggleadmintools","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Телепорт под Прицел","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Activer/Désactiver les Outils, Raccourcis & Privilèges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","啟用/停用工具、捷徑和權限"
"vpp_settings_teleporttocrosshair","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","Удалить объект под Прицелом","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","Téléporter au Réticule","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","瞬移到十字准線"
"vpp_settings_deleteobjectatcrosshair","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","Вкл\выкл ГМ","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","Supprimer l'Objet au Réticule","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","刪除十字准線上的物件"
"vpp_settings_togglegodmode","Toggle GodMode","Toggle GodMode","Toggle GodMode","Toggle GodMode","Копировать позицию в буфер обмена","Toggle GodMode","Toggle GodMode","Toggle GodMode","Toggle GodMode","Activer/Désactiver GodMode","Toggle GodMode","Toggle GodMode","Toggle GodMode","切換 GodMode"
"vpp_settings_copyposition","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","Ремонт автомобиля под прицелом","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","Copier la position dans le presse-papiers","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","複製位置到剪貼簿"
"vpp_settings_repairvehicle","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Вкл\выкл Свободная Камера","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Réparer le Véhicule au Réticule","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","維修十字准線上的車輛"
"vpp_settings_togglefreecam","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","Выйти из режима наблюдения","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","Activer/Désactiver la Caméra Libre","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","切換自由相機"
"vpp_settings_exitspectate","Exit Spectate Mode","Exit Spectate Mode","Exit Spectate Mode","Exit Spectate Mode","Перемещение объектов мира (Конструктор Объектов)","Exit Spectate Mode","Exit Spectate Mode","Exit Spectate Mode","Exit Spectate Mode","Quitter le Mode Spectateur","Exit Spectate Mode","Exit Spectate Mode","Exit Spectate Mode","退出觀賞模式"
"vpp_settings_selectobject","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","[2xТап] Снять выбор (Конструктор Объектов)","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","Sélectionner & déplacer les objets du monde (Constructeur d'Objets)","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","選擇和移動世界物件 (物件建立程式)"
